What is your gender?,What is your age?,I write with:,Calculate: 19 - 12 = ,Calculate: 37 - 36 = ,A runner who completed a marathon in extremely hot weather is likely to be tired. To what extent do you agree with this statement? ,A student who failed a very important exam is likely to be upset. To what extent do you agree with this statement? ,A person who has been diagnosed with cancer is likely to feel glad. To what extent do you agree with this statement? ,It is easy for me to concentrate on my activities. To what extent do you agree with this statement? ,"Frequently, when I am working, I find myself worrying about other things.  To what extent do you agree with this statement? ",Time always seems to be passing slowly. To what extent do you agree with this statement? ,"I often find myself at “loose ends,” not knowing what to do. To what extent do you agree with this statement? ",I am often trapped in situations where I have to do meaningless things. To what extent do you agree with this statement? ,Having to look at someone’s home movies or travel slides bores me tremendously. To what extent do you agree with this statement? ,"I have projects in mind all the time, things to do. To what extent do you agree with this statement? ",I find it easy to entertain myself. To what extent do you agree with this statement? ,Many things I have to do are repetitive and monotonous. To what extent do you agree with this statement? ,It takes more stimulation to get me going than most people. To what extent do you agree with this statement? ,Concentrating on my activities feels effortless for me. To what extent do you agree with this statement? ,"When working, I often catch myself fretting over other matters. To what extent do you agree with this statement? ",Time consistently appears to drag on. To what extent do you agree with this statement? ,"At times, I feel directionless, uncertain of how to proceed. To what extent do you agree with this statement? ","Frequently, I find myself stuck in circumstances where I'm required to engage in tasks lacking significance. To what extent do you agree with this statement? ",I'm greatly uninterested in viewing personal videos or travel slides. To what extent do you agree with this statement? ,Ideas for projects and tasks constantly occupy my mind. To what extent do you agree with this statement? ,Entertaining myself is something I find simple to do. To what extent do you agree with this statement? ,The majority of my tasks are repetitive and lack variation. To what extent do you agree with this statement? ,I typically require more external stimuli to become motivated compared to others. To what extent do you agree with this statement? 
Male,58,rigth hand,7,1,7,7,1,6,2,3,2,2,2,5,7,2,2,6,2,3,2,3,2,5,7,3,2
Male,40,rigth hand,7,1,7,7,1,6,2,1,1,5,5,3,6,6,2,5,2,1,1,5,5,3,6,6,2
Male,38,rigth hand,7,1,7,7,1,7,2,1,1,2,3,4,6,2,2,5,2,1,1,2,3,3,5,2,2
Male,43,rigth hand,7,1,7,7,1,6,1,3,1,2,3,1,6,5,2,5,2,1,1,1,3,1,7,1,1
Male,32,rigth hand,7,1,7,7,1,3,7,4,5,4,1,3,4,5,6,3,7,4,7,5,1,3,4,5,6
Female,33,rigth hand,7,1,7,7,1,6,4,2,2,3,2,3,6,2,2,6,2,2,2,2,2,3,6,2,1
Female,59,left hand,7,1,7,7,1,7,5,1,1,3,1,7,7,7,1,2,3,1,6,3,1,7,7,7,1
Male,34,rigth hand,7,1,7,7,1,7,3,1,2,2,7,6,5,2,3,6,2,2,2,2,7,6,5,2,3
Female,38,rigth hand,7,1,7,7,1,6,6,5,3,6,6,6,5,4,3,5,5,5,5,5,5,4,6,2,3
Female,69,rigth hand,7,1,7,7,1,7,1,1,1,1,3,7,6,4,1,7,1,3,1,1,3,5,6,4,1
Male,32,rigth hand,7,1,7,7,1,5,2,1,1,3,4,5,7,5,1,5,2,4,1,4,1,5,7,5,1
Male,39,rigth hand,7,1,7,7,1,6,1,3,3,4,6,2,7,5,1,6,1,2,6,5,6,1,7,5,1
Male,34,rigth hand,7,1,7,7,1,5,4,3,1,2,2,7,5,3,2,3,3,3,3,3,2,7,6,3,2
Female,62,rigth hand,7,1,7,7,1,6,2,1,1,1,7,2,5,1,1,5,2,1,1,1,7,1,6,4,1
Female,43,rigth hand,7,1,7,7,1,7,2,2,1,2,5,4,6,2,2,6,1,2,3,2,5,4,6,2,1
Male,37,left hand,7,1,7,7,1,5,1,3,3,2,1,4,6,4,1,4,3,4,1,1,1,2,4,1,5
Female,48,rigth hand,7,1,7,7,1,6,7,4,1,3,5,7,4,3,4,5,6,4,1,3,5,5,4,7,4
Female,39,rigth hand,7,1,7,7,1,2,7,2,4,4,6,7,5,5,2,1,4,1,7,4,5,5,5,4,4
Male,53,rigth hand,7,1,7,7,1,6,2,3,3,3,3,5,7,3,5,6,2,3,5,3,3,5,7,3,5
Male,66,rigth hand,7,1,7,7,1,3,7,3,5,6,7,3,5,6,7,1,7,4,7,6,7,4,4,5,7
Female,51,rigth hand,7,1,7,7,1,7,1,1,2,1,5,6,7,6,4,7,1,1,1,2,6,4,7,5,3
Male,41,left hand,7,1,7,7,1,6,3,2,2,5,4,7,6,4,2,6,4,2,2,5,4,6,6,4,2
Male,35,rigth hand,7,1,7,7,1,5,7,3,4,3,2,6,6,4,2,5,4,3,2,4,2,6,6,4,2
Male,53,rigth hand,7,1,7,7,1,6,2,2,2,2,3,6,6,2,2,6,2,2,2,1,2,6,6,2,2
Male,37,rigth hand,7,1,7,7,1,7,2,6,2,2,4,5,7,2,1,5,2,1,1,3,4,5,6,1,2
Female,39,rigth hand,7,1,7,7,1,6,4,3,4,3,1,5,6,5,4,6,4,4,2,4,1,3,5,5,3
Female,60,rigth hand,7,1,7,7,1,5,5,3,2,7,1,6,7,1,6,5,5,2,1,4,1,7,6,2,4
Female,45,rigth hand,7,1,7,7,1,6,5,2,1,3,3,6,7,2,1,6,5,1,3,3,4,5,6,1,3
Male,37,rigth hand,7,1,7,7,1,6,6,2,4,4,3,3,6,7,3,6,5,3,2,4,3,2,7,7,2
