What is your gender?,What is your age?,I write with:,Calculate: 19 - 12 = ,Calculate: 37 - 36 = ,A runner who completed a marathon in extremely hot weather is likely to be tired. To what extent do you agree with this statement? ,A student who failed a very important exam is likely to be upset. To what extent do you agree with this statement? ,A person who has been diagnosed with cancer is likely to feel glad. To what extent do you agree with this statement? ,I often think about my mobile phone when I am not using it. To what extent do you agree with this statement? ,I often use my mobile phone for no particular reason. To what extent do you agree with this statement? ,Arguments have arisen with others because of my mobile phone use. To what extent do you agree with this statement? ,I interrupt whatever else I am doing when I am contacted on my mobile phone. To what extent do you agree with this statement? ,I feel connected to others when I use my mobile phone. To what extent do you agree with this statement? ,I lose track of how much I am using my mobile phone. To what extent do you agree with this statement? ,The thought of being without my mobile phone makes me feel distressed. To what extent do you agree with this statement? ,I have been unable to reduce my mobile phone use. To what extent do you agree with this statement? ,I often ponder my mobile phone even when it's not in my hands. To what extent do you agree with this statement? ,I use my mobile phone quite often without any particular intent. To what extent do you agree with this statement? ,My engagement with my mobile phone has caused disagreements with others. To what extent do you agree with this statement? ,I stop whatever I am doing when my mobile phone rings or receives a notification. To what extent do you agree with this statement? ,Using my mobile phone makes me feel connected to others. To what extent do you agree with this statement? ,Keeping track of my mobile phone usage is something I struggle with. To what extent do you agree with this statement? ,Not having my mobile phone makes me feel uneasy. To what extent do you agree with this statement? ,I have been unable to limit my mobile phone usage. To what extent do you agree with this statement? 
Female,22,rigth hand,2,1,4,6,5,6,4,4,4,5,5,3,6,4,5,5,4,5,6,6,6
Female,42,rigth hand,7,1,6,7,5,5,5,6,6,5,6,6,6,4,6,5,6,5,6,5,4
Female,27,rigth hand,7,1,6,5,5,6,4,6,5,6,5,6,5,6,5,4,4,5,5,6,6
Male,42,rigth hand,7,1,6,6,6,6,5,5,5,5,4,5,6,6,7,7,6,4,7,6,6
Male,42,rigth hand,2,1,6,6,5,6,6,6,6,6,6,5,5,6,7,5,6,6,6,6,5
Male,32,left hand,7,1,6,5,6,6,6,5,6,6,6,6,6,5,6,2,6,5,6,6,6
Female,24,rigth hand,7,1,6,6,2,3,1,1,2,6,2,4,1,3,1,1,2,7,2,5,2
Female,24,rigth hand,7,1,7,7,1,5,5,5,4,7,4,5,4,5,5,5,4,7,4,6,4
Male,25,rigth hand,7,1,7,7,1,3,4,7,1,7,1,5,5,2,1,4,7,7,5,3,3
Male,42,rigth hand,7,1,6,5,6,5,6,6,6,5,5,5,5,7,6,5,5,4,5,4,6
Female,45,rigth hand,7,1,7,7,1,6,5,1,6,6,6,6,6,6,6,1,7,6,6,7,6
Female,33,rigth hand,7,1,5,4,6,6,6,5,5,5,4,6,5,5,6,5,4,5,5,5,5
Male,37,rigth hand,7,1,6,7,7,7,6,7,6,7,6,6,6,7,6,6,6,7,7,6,7
