What is your gender?,What is your age?,I write with:,Calculate: 19 - 12 = ,Calculate: 37 - 36 = ,A runner who completed a marathon in extremely hot weather is likely to be tired. To what extent do you agree with this statement? ,A student who failed a very important exam is likely to be upset. To what extent do you agree with this statement? ,A person who has been diagnosed with cancer is likely to feel glad. To what extent do you agree with this statement? ,I often think about my mobile phone when I am not using it. To what extent do you agree with this statement? ,I often use my mobile phone for no particular reason. To what extent do you agree with this statement? ,Arguments have arisen with others because of my mobile phone use. To what extent do you agree with this statement? ,I interrupt whatever else I am doing when I am contacted on my mobile phone. To what extent do you agree with this statement? ,I feel connected to others when I use my mobile phone. To what extent do you agree with this statement? ,I lose track of how much I am using my mobile phone. To what extent do you agree with this statement? ,The thought of being without my mobile phone makes me feel distressed. To what extent do you agree with this statement? ,I have been unable to reduce my mobile phone use. To what extent do you agree with this statement? ,I often ponder my mobile phone even when it's not in my hands. To what extent do you agree with this statement? ,I use my mobile phone quite often without any particular intent. To what extent do you agree with this statement? ,My engagement with my mobile phone has caused disagreements with others. To what extent do you agree with this statement? ,I stop whatever I am doing when my mobile phone rings or receives a notification. To what extent do you agree with this statement? ,Using my mobile phone makes me feel connected to others. To what extent do you agree with this statement? ,Keeping track of my mobile phone usage is something I struggle with. To what extent do you agree with this statement? ,Not having my mobile phone makes me feel uneasy. To what extent do you agree with this statement? ,I have been unable to limit my mobile phone usage. To what extent do you agree with this statement? 
Female,51,rigth hand,7,1,7,7,1,1,2,1,2,3,5,1,1,1,3,1,2,3,1,2,1
Male,33,rigth hand,7,1,7,7,1,2,2,2,6,5,5,2,2,2,2,1,6,5,1,5,3
Male,47,rigth hand,7,1,7,7,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
Female,49,rigth hand,7,1,7,7,1,6,6,2,5,7,5,5,2,6,6,3,5,7,5,7,2
Male,37,rigth hand,7,1,7,7,1,1,2,1,2,6,1,1,1,1,2,1,2,6,1,2,1
Female,59,rigth hand,7,1,7,7,1,4,2,2,5,6,4,6,4,5,4,2,5,6,4,6,3
Male,45,rigth hand,7,1,7,7,1,3,7,5,3,7,7,7,6,3,7,5,6,7,5,6,6
Female,44,rigth hand,7,1,7,7,1,1,1,1,3,7,1,3,1,3,1,1,5,7,1,4,1
Female,34,rigth hand,7,1,7,7,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,7,1
Male,33,rigth hand,7,1,7,7,1,3,5,1,5,5,3,3,2,2,5,1,5,5,3,2,2
Male,37,rigth hand,7,1,7,7,1,1,1,1,1,5,2,2,1,1,1,1,2,5,1,2,1
Male,50,rigth hand,7,1,7,7,1,2,1,1,5,7,1,5,6,6,1,1,5,7,1,5,7
Male,56,left hand,7,1,7,7,1,1,2,1,2,3,2,2,1,1,1,1,2,2,1,2,1
Male,60,rigth hand,7,1,7,7,1,2,4,1,6,6,2,5,2,1,2,1,5,5,2,6,5
Male,37,rigth hand,7,1,7,7,1,2,3,1,2,4,2,3,2,1,3,1,2,4,2,3,1
Female,32,rigth hand,7,1,7,7,1,2,2,3,5,3,7,3,3,6,5,4,4,4,2,6,5
Female,43,left hand,7,1,7,7,1,4,5,1,2,5,4,3,2,3,5,2,3,5,3,4,3
Male,35,rigth hand,7,1,7,7,1,2,5,1,5,5,3,1,2,1,5,1,5,5,3,3,1
Male,53,rigth hand,7,1,7,7,1,3,4,2,1,5,2,4,2,3,3,2,2,5,2,4,2
Female,64,rigth hand,7,1,7,7,1,1,6,2,5,5,4,4,2,3,5,2,4,4,2,5,1
Male,54,rigth hand,7,1,7,7,1,2,4,1,2,6,4,2,1,2,2,1,2,6,1,2,1
Female,51,rigth hand,7,1,7,7,1,4,3,1,6,6,2,4,1,4,3,1,5,6,2,5,1
Male,39,rigth hand,7,1,7,7,1,2,4,1,6,5,3,6,2,1,3,1,6,5,2,6,2
Male,45,rigth hand,7,1,7,7,1,2,6,2,3,5,3,4,5,2,5,2,3,5,2,5,3
Male,41,rigth hand,7,1,7,7,1,5,5,6,5,7,5,5,3,5,5,5,5,7,5,5,3
Female,72,rigth hand,7,1,7,7,1,1,1,1,2,6,1,2,1,1,1,1,2,6,1,3,1
Male,28,rigth hand,7,1,7,7,1,5,5,3,4,7,4,6,5,5,5,3,6,7,5,6,5
Female,39,rigth hand,7,1,7,7,1,3,6,2,4,5,7,5,2,3,5,2,4,5,3,6,2
Female,62,rigth hand,7,1,7,7,1,5,6,2,5,5,6,6,5,3,4,2,5,6,5,7,3
Female,35,rigth hand,7,1,7,7,1,1,2,1,6,6,1,3,1,1,1,1,5,7,1,3,1
Male,41,rigth hand,7,1,7,6,1,4,2,1,2,2,1,4,1,3,2,1,4,2,2,4,1
Female,40,rigth hand,7,1,7,7,1,4,4,5,5,4,6,6,4,4,5,4,5,4,6,6,4
Female,32,rigth hand,7,1,7,7,1,7,5,4,6,4,4,4,4,4,4,6,5,7,4,7,4
Male,37,rigth hand,7,1,7,7,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1
Male,38,rigth hand,7,1,7,7,1,5,6,2,3,4,6,2,5,5,7,5,3,4,6,3,5
Male,36,rigth hand,7,1,7,7,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1
Male,35,rigth hand,7,1,7,7,1,2,1,1,2,4,1,4,1,1,2,1,2,4,1,5,1
Male,26,rigth hand,7,1,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
Male,40,rigth hand,7,1,7,7,2,3,7,1,3,6,3,5,2,5,6,2,3,5,3,6,1
Female,51,rigth hand,7,1,7,7,1,1,1,1,1,5,5,1,4,1,1,1,1,5,5,1,3
Female,42,rigth hand,7,1,7,7,1,5,5,1,7,7,1,3,1,4,5,1,6,7,1,6,1
Female,60,rigth hand,7,1,7,7,7,1,1,1,1,3,1,2,1,1,1,1,1,3,1,2,1
Female,60,rigth hand,7,1,7,7,1,5,7,2,7,2,7,4,7,5,7,2,7,2,7,6,7
Male,57,rigth hand,7,1,7,7,1,2,3,1,3,6,1,3,1,2,3,1,3,6,1,3,1
Female,53,rigth hand,7,1,5,7,1,3,6,3,2,7,5,2,2,2,3,3,3,5,2,3,2
Male,39,rigth hand,7,1,7,2,6,4,3,5,7,6,3,6,7,7,4,4,5,5,5,7,3
Male,35,rigth hand,7,1,7,7,1,1,1,1,7,6,1,2,1,2,1,1,6,6,1,2,1
Male,34,rigth hand,7,1,7,7,1,5,5,1,5,6,5,6,1,2,5,1,5,6,1,7,2
Female,54,rigth hand,7,1,7,7,1,4,3,3,4,5,4,4,5,4,3,3,5,5,5,5,5
Female,41,left hand,7,1,7,7,1,1,2,1,1,6,1,1,1,1,1,1,2,6,2,1,1
Female,60,rigth hand,7,1,5,6,1,2,2,1,3,5,5,5,3,2,2,2,5,6,2,6,4
Male,54,rigth hand,7,1,7,7,1,5,6,3,6,6,5,3,3,5,6,3,5,6,2,6,2
Male,41,left hand,7,1,7,7,1,2,6,1,3,5,2,5,5,2,6,1,3,5,4,5,4
Female,45,left hand,7,1,7,6,1,4,3,2,5,4,5,6,4,5,4,2,5,3,5,6,5
Female,57,rigth hand,7,1,7,7,1,2,6,5,3,7,7,6,1,1,6,6,5,7,2,7,7
Male,46,rigth hand,7,1,7,7,1,1,2,1,3,3,1,1,1,1,2,1,3,2,1,1,1
Female,66,rigth hand,7,1,7,7,1,2,1,2,5,6,4,6,2,2,1,2,5,6,2,6,2
Male,36,rigth hand,7,1,7,7,1,3,5,1,5,5,5,4,2,3,5,1,5,5,2,4,2
Female,48,rigth hand,7,1,7,7,1,2,6,2,1,7,3,5,3,1,6,2,2,7,1,6,2
